Week,missedperiod
2016-03-13,70
2016-03-20,75
2016-03-27,79
2016-04-03,72
2016-04-10,83
2016-04-17,65
2016-04-24,73
2016-05-01,74
2016-05-08,73
2016-05-15,80
2016-05-22,74
2016-05-29,71
2016-06-05,81
2016-06-12,75
2016-06-19,81
2016-06-26,74
2016-07-03,84
2016-07-10,83
2016-07-17,88
2016-07-24,82
2016-07-31,83
2016-08-07,64
2016-08-14,66
2016-08-21,93
2016-08-28,87
2016-09-04,68
2016-09-11,75
2016-09-18,73
2016-09-25,80
2016-10-02,81
2016-10-09,73
2016-10-16,73
2016-10-23,76
2016-10-30,81
2016-11-06,73
2016-11-13,75
2016-11-20,60
2016-11-27,82
2016-12-04,88
2016-12-11,73
2016-12-18,82
2016-12-25,79
2017-01-01,81
2017-01-08,81
2017-01-15,67
2017-01-22,81
2017-01-29,84
2017-02-05,71
2017-02-12,71
2017-02-19,73
2017-02-26,84
2017-03-05,73
2017-03-12,76
2017-03-19,72
2017-03-26,87
2017-04-02,70
2017-04-09,69
2017-04-16,73
2017-04-23,68
2017-04-30,78
2017-05-07,67
2017-05-14,72
2017-05-21,88
2017-05-28,89
2017-06-04,89
2017-06-11,70
2017-06-18,85
2017-06-25,88
2017-07-02,91
2017-07-09,88
2017-07-16,83
2017-07-23,78
2017-07-30,100
2017-08-06,76
2017-08-13,85
2017-08-20,86
2017-08-27,84
2017-09-03,61
2017-09-10,75
2017-09-17,73
2017-09-24,87
2017-10-01,82
2017-10-08,73
2017-10-15,81
2017-10-22,92
2017-10-29,84
2017-11-05,71
2017-11-12,62
2017-11-19,83
2017-11-26,87
2017-12-03,81
2017-12-10,70
2017-12-17,64
2017-12-24,81
2017-12-31,72
2018-01-07,69
2018-01-14,78
2018-01-21,80
2018-01-28,87
2018-02-04,77
2018-02-11,73
2018-02-18,75
2018-02-25,79
2018-03-04,83
2018-03-11,75
2018-03-18,87
2018-03-25,84
2018-04-01,92
2018-04-08,76
2018-04-15,74
2018-04-22,74
2018-04-29,78
2018-05-06,65
2018-05-13,73
2018-05-20,84
2018-05-27,79
2018-06-03,79
2018-06-10,78
2018-06-17,70
2018-06-24,98
2018-07-01,80
2018-07-08,81
2018-07-15,81
2018-07-22,92
2018-07-29,85
2018-08-05,69
2018-08-12,76
2018-08-19,76
2018-08-26,73
2018-09-02,78
2018-09-09,67
2018-09-16,78
2018-09-23,68
2018-09-30,89
2018-10-07,68
2018-10-14,65
2018-10-21,80
2018-10-28,77
2018-11-04,86
2018-11-11,74
2018-11-18,67
2018-11-25,77
2018-12-02,72
2018-12-09,61
2018-12-16,80
2018-12-23,83
2018-12-30,80
2019-01-06,82
2019-01-13,69
2019-01-20,80
2019-01-27,76
2019-02-03,69
2019-02-10,71
2019-02-17,73
2019-02-24,76
2019-03-03,70
2019-03-10,66
2019-03-17,73
2019-03-24,84
2019-03-31,69
2019-04-07,67
2019-04-14,73
2019-04-21,67
2019-04-28,73
2019-05-05,67
2019-05-12,62
2019-05-19,63
2019-05-26,71
2019-06-02,75
2019-06-09,82
2019-06-16,73
2019-06-23,79
2019-06-30,78
2019-07-07,68
2019-07-14,60
2019-07-21,74
2019-07-28,79
2019-08-04,72
2019-08-11,69
2019-08-18,78
2019-08-25,71
2019-09-01,59
2019-09-08,65
2019-09-15,63
2019-09-22,62
2019-09-29,69
2019-10-06,61
2019-10-13,56
2019-10-20,74
2019-10-27,69
2019-11-03,77
2019-11-10,65
2019-11-17,63
2019-11-24,60
2019-12-01,66
2019-12-08,60
2019-12-15,54
2019-12-22,64
2019-12-29,61
2020-01-05,64
2020-01-12,56
2020-01-19,71
2020-01-26,73
2020-02-02,54
2020-02-09,63
2020-02-16,65
2020-02-23,63
2020-03-01,56
2020-03-08,61
2020-03-15,47
2020-03-22,63
2020-03-29,63
2020-04-05,63
2020-04-12,61
2020-04-19,60
2020-04-26,59
2020-05-03,60
2020-05-10,64
2020-05-17,66
2020-05-24,67
2020-05-31,66
2020-06-07,68
2020-06-14,69
2020-06-21,65
2020-06-28,65
2020-07-05,65
2020-07-12,69
2020-07-19,84
2020-07-26,74
2020-08-02,73
2020-08-09,69
2020-08-16,56
2020-08-23,65
2020-08-30,63
2020-09-06,57
2020-09-13,66
2020-09-20,63
2020-09-27,68
2020-10-04,69
2020-10-11,69
2020-10-18,74
2020-10-25,72
2020-11-01,57
2020-11-08,63
2020-11-15,67
2020-11-22,71
2020-11-29,72
2020-12-06,75
2020-12-13,63
2020-12-20,64
2020-12-27,69
2021-01-03,61
2021-01-10,62
2021-01-17,66
2021-01-24,72
2021-01-31,67
2021-02-07,53
2021-02-14,67
2021-02-21,74
2021-02-28,67
2021-03-07,51
