Week,morningsickness
2016-03-13,94
2016-03-20,82
2016-03-27,70
2016-04-03,82
2016-04-10,79
2016-04-17,80
2016-04-24,78
2016-05-01,88
2016-05-08,74
2016-05-15,79
2016-05-22,85
2016-05-29,80
2016-06-05,81
2016-06-12,70
2016-06-19,75
2016-06-26,97
2016-07-03,81
2016-07-10,70
2016-07-17,86
2016-07-24,75
2016-07-31,89
2016-08-07,76
2016-08-14,75
2016-08-21,84
2016-08-28,77
2016-09-04,83
2016-09-11,75
2016-09-18,75
2016-09-25,79
2016-10-02,85
2016-10-09,76
2016-10-16,77
2016-10-23,77
2016-10-30,80
2016-11-06,73
2016-11-13,67
2016-11-20,75
2016-11-27,80
2016-12-04,77
2016-12-11,86
2016-12-18,89
2016-12-25,86
2017-01-01,94
2017-01-08,84
2017-01-15,82
2017-01-22,79
2017-01-29,85
2017-02-05,85
2017-02-12,83
2017-02-19,88
2017-02-26,82
2017-03-05,81
2017-03-12,77
2017-03-19,74
2017-03-26,78
2017-04-02,75
2017-04-09,76
2017-04-16,84
2017-04-23,86
2017-04-30,63
2017-05-07,68
2017-05-14,79
2017-05-21,70
2017-05-28,85
2017-06-04,94
2017-06-11,73
2017-06-18,83
2017-06-25,81
2017-07-02,73
2017-07-09,91
2017-07-16,72
2017-07-23,85
2017-07-30,97
2017-08-06,83
2017-08-13,81
2017-08-20,77
2017-08-27,72
2017-09-03,82
2017-09-10,78
2017-09-17,78
2017-09-24,70
2017-10-01,77
2017-10-08,77
2017-10-15,77
2017-10-22,84
2017-10-29,82
2017-11-05,74
2017-11-12,75
2017-11-19,74
2017-11-26,80
2017-12-03,75
2017-12-10,84
2017-12-17,83
2017-12-24,87
2017-12-31,91
2018-01-07,92
2018-01-14,96
2018-01-21,81
2018-01-28,75
2018-02-04,77
2018-02-11,86
2018-02-18,78
2018-02-25,79
2018-03-04,80
2018-03-11,78
2018-03-18,74
2018-03-25,72
2018-04-01,83
2018-04-08,73
2018-04-15,81
2018-04-22,88
2018-04-29,86
2018-05-06,76
2018-05-13,69
2018-05-20,84
2018-05-27,80
2018-06-03,81
2018-06-10,78
2018-06-17,79
2018-06-24,86
2018-07-01,90
2018-07-08,78
2018-07-15,82
2018-07-22,78
2018-07-29,88
2018-08-05,92
2018-08-12,85
2018-08-19,88
2018-08-26,89
2018-09-02,81
2018-09-09,74
2018-09-16,81
2018-09-23,71
2018-09-30,78
2018-10-07,73
2018-10-14,80
2018-10-21,73
2018-10-28,79
2018-11-04,83
2018-11-11,67
2018-11-18,67
2018-11-25,76
2018-12-02,81
2018-12-09,76
2018-12-16,75
2018-12-23,77
2018-12-30,100
2019-01-06,90
2019-01-13,82
2019-01-20,76
2019-01-27,79
2019-02-03,79
2019-02-10,82
2019-02-17,85
2019-02-24,81
2019-03-03,65
2019-03-10,68
2019-03-17,75
2019-03-24,82
2019-03-31,76
2019-04-07,81
2019-04-14,74
2019-04-21,85
2019-04-28,67
2019-05-05,71
2019-05-12,72
2019-05-19,73
2019-05-26,81
2019-06-02,74
2019-06-09,63
2019-06-16,78
2019-06-23,69
2019-06-30,75
2019-07-07,83
2019-07-14,84
2019-07-21,78
2019-07-28,85
2019-08-04,81
2019-08-11,76
2019-08-18,77
2019-08-25,57
2019-09-01,63
2019-09-08,77
2019-09-15,66
2019-09-22,78
2019-09-29,67
2019-10-06,64
2019-10-13,74
2019-10-20,72
2019-10-27,63
2019-11-03,74
2019-11-10,65
2019-11-17,83
2019-11-24,68
2019-12-01,75
2019-12-08,65
2019-12-15,65
2019-12-22,75
2019-12-29,78
2020-01-05,87
2020-01-12,77
2020-01-19,79
2020-01-26,74
2020-02-02,81
2020-02-09,77
2020-02-16,89
2020-02-23,70
2020-03-01,61
2020-03-08,52
2020-03-15,54
2020-03-22,69
2020-03-29,68
2020-04-05,67
2020-04-12,70
2020-04-19,66
2020-04-26,68
2020-05-03,63
2020-05-10,68
2020-05-17,72
2020-05-24,69
2020-05-31,67
2020-06-07,74
2020-06-14,71
2020-06-21,68
2020-06-28,82
2020-07-05,76
2020-07-12,69
2020-07-19,82
2020-07-26,74
2020-08-02,90
2020-08-09,73
2020-08-16,71
2020-08-23,72
2020-08-30,81
2020-09-06,67
2020-09-13,64
2020-09-20,60
2020-09-27,72
2020-10-04,71
2020-10-11,62
2020-10-18,69
2020-10-25,69
2020-11-01,60
2020-11-08,77
2020-11-15,74
2020-11-22,74
2020-11-29,69
2020-12-06,65
2020-12-13,62
2020-12-20,60
2020-12-27,74
2021-01-03,68
2021-01-10,69
2021-01-17,69
2021-01-24,81
2021-01-31,70
2021-02-07,61
2021-02-14,73
2021-02-21,71
2021-02-28,75
2021-03-07,74
